MODEL,VENDOR,MODEL_GSM,YEAR_RELEASED_GSM,MONTH_RELEASED_GSM,TIME_RELEASED_GSM,PRICE_RELEASED_GSM,DIAGONAL_SCREEN_SIZE_GSM,DETAIL_NAME_GSM
rm-1045,nokia,lumia 930,2014,7,2014.5,370,5,NA
gt-n7105,samsung,galaxy note ii n7100,2012,9,2012.666667,300,5.5,NA
c6603,sony,xperia z,2013,2,2013.083333,270,5,c6603
v765m,zte,blade v8,2017,2,2017.083333,NA,5.2,NA
gt-i9250,samsung,galaxy nexus i9250m,2012,1,2012,240,4.65,"for telus
also known as samsung gt-i9250m"
s60-a,lenovo,s60,2015,3,2015.166667,280,5,available as lenovo s60-t for china
y600-u20,huawei,ascend y600,2014,6,2014.416667,100,5,NA
lt26i,sony,xperia sp,2013,4,2013.25,180,4.6,"also known as sony xperia sp hspa c5302, sony xperia sp lte c5303, sony xperia sp lte c5306"
s920,lenovo,s920,2013,5,2013.333333,250,5.3,s920
rm-1068,microsoft,lumia 435 dual sim,2015,2,2015.083333,70,4,NA
rm-825,nokia,lumia 820,2012,11,2012.833333,170,4.3,NA
gt-s6310,samsung,galaxy young s6310,2013,3,2013.166667,90,3.27,versions: s6310l; samsung galaxy young duos s6312 with dual-sim card slots
mt7-l09,huawei,ascend mate7 monarch,2015,3,2015.166667,500,6,also known as huawei ascend mate7 monarch edition
sunny,wiko,sunny,2016,5,2016.333333,NA,4,sunny
pf500kl,asus,padfone s,2014,7,2014.5,250,5,pf500kl
sm-t819,samsung,galaxy tab s2 9.7,2015,9,2015.666667,520,9.7,"versions (2016): t813n (wi-fi); t819n (3g/lte)
versions (2015): t810 (wi-fi); t815 (3g/lte)"
p7-l10,huawei,ascend p7 mini,2014,5,2014.333333,180,4.5,NA
t06,acer,liquid zest plus,2016,7,2016.5,200,5.5,also known as acer liquid zest plus z628
bloom,wiko,bloom2,2015,6,2015.416667,NA,4.7,bloom
rm-1096,microsoft,lumia 640 xl lte dual sim,2015,4,2015.25,200,5.7,NA
a6020a40,lenovo,vibe k5,2016,4,2016.25,120,5,a6020a40
f5122,sony,xperia x,2016,5,2016.333333,400,5,f5122
7d-501u,huawei,mediapad x1,2014,4,2014.25,350,7,7d-501u
h790,lg,nexus 5x,2015,10,2015.75,270,5.2,NA
sm-g800,samsung,galaxy s5 mini,2014,7,2014.5,220,4.5,versions: g800f (europe); g800a (at&t); g800hq (turkey); g800h (usa); g800m (latam); g800r4 (us cellular); g800y (new zealand)
s930,lenovo,s930,2013,12,2013.916667,220,6,s930
d5303,sony,xperia t2 ultra dual,2014,3,2014.166667,280,6,"also known as sony xperia t2 ultra dual sim d5322, xm50h"
p90,lenovo,p90,2015,4,2015.25,450,5.5,p90
gt-p7300,samsung,galaxy tab 8.9 p7300,2011,10,2011.75,290,8.9,"tablet with support for gsm voice communication, sms, and mms"
d2533,sony,xperia c3,2014,8,2014.583333,190,5.5,d2533
gt-s6810,samsung,galaxy fame s6810,2013,3,2013.166667,120,3.5,available as samsung galaxy fame s6810p with nfc; samsung galaxy fame duos s6812 with dual-sim card slots
ale-l21,huawei,p8lite,2015,5,2015.333333,170,5,ale-l21
zc551kl,asus,zenfone 3 laser zc551kl,2016,8,2016.583333,270,5.5,zc551kl
a500kl,asus,zenfone 5 a500kl,2014,7,2014.5,210,5,a500kl
r-box,samsung,i9103 galaxy r,2011,8,2011.583333,200,4.2,also known as samsung galaxy z
a500,samsung,galaxy a5 (2017),2017,1,2017,430,5.2,also known as samsung galaxy a5 (2017) duos with dual-sim card slots
rm-1040,nokia,lumia 730 dual sim,2014,9,2014.666667,170,4.7,rm-1040
k910l,lenovo,vibe z k910,2013,11,2013.833333,480,5.5,NA
adr6400l,htc,thunderbolt 4g,2011,3,2011.166667,230,4.3,"also known as htc incredible hd, htc droid thunderbolt
for verizon"
p8max,huawei,p8max,2015,7,2015.5,500,6.8,p8max
s500,sami,s5001 lotus,2015,12,2015.916667,NA,5,s500
rm-1141,microsoft,lumia 540 dual sim,2015,5,2015.333333,100,5,NA
pe-tl10,huawei,honor 6 plus,2014,12,2014.916667,320,5.5,also known as huawei honor 6x
sm-a310,samsung,galaxy a3 (2016),2015,12,2015.916667,230,4.7,"versions: a310f (europe); a310m (latin america); a310y (taiwan)
also known as samsung galaxy a3 (2016) duos with dual-sim card slots"
n5116,oppo,n1 mini,2014,8,2014.583333,330,5,NA
sm-n9208,samsung,galaxy note5,2015,8,2015.583333,530,5.7,"versions: n920t (t-mobile); n920a (at&t); n920i (australia, new zealand, singapore, canada); n920g
 (india)"
e2353,sony,xperia m4 aqua,2015,6,2015.416667,200,5,NA
s650,lenovo,s650,2013,12,2013.916667,270,4.7,s650
g6-u251,huawei,ascend g628,2015,2,2015.083333,140,5,NA
gem-702l,huawei,mediapad x2,2015,5,2015.333333,350,7,NA
d5503,sony,xperia z1 compact,2014,1,2014,320,4.3,d5503
nexus 6p,huawei,nexus 6p,2015,9,2015.666667,600,5.7,NA
h502,lg,magna,2015,5,2015.333333,140,5,h502
redmi note 2,xiaomi,redmi note 2,2015,8,2015.583333,160,5.5,redmi note 2
a6010,lenovo,a6010,2015,10,2015.75,150,5,a6010
a0001,oneplus,3,2016,6,2016.416667,400,5.5,also known as oneplus three
gt-i9060,samsung,galaxy grand neo,2014,2,2014.083333,130,5.01,also known as: samsung galaxy grand lite; samsung galaxy grand neo plus i9060i with 2 mp front camera
g7-l03,huawei,ascend g7,2014,10,2014.75,260,5.5,g7-l03
a3500-hv,lenovo,a7-50 a3500,2014,6,2014.416667,120,7,a3500-hv
shv-e210s,samsung,galaxy tab 3 7.0 wifi,2013,7,2013.5,140,7,"tablet with no support for gsm voice communication, sms, and mms
also known as samsung galaxy tab 3 7.0 p3210, samsung t210"
d2303,sony,d 2403,2015,NA,NA,200,4.4,released as sony xperia m2 aqua
lt25i,sony,xperia v,2012,12,2012.916667,230,4.3,also known as xperia ax on ntt docomo and xperia vl on kddi
a56,micromax,a56,2012,7,2012.5,80,3.5,a56
g620s-l02,huawei,ascend g620s,2014,11,2014.833333,180,5,NA
a390,lenovo,a3900,2015,8,2015.583333,70,5,a390
s1a40,lenovo,vibe s1,2015,11,2015.833333,270,5,NA
gt-i9195,samsung,i9190 galaxy s4 mini,2013,7,2013.5,230,4.3,also known as samsung i9190 galaxy s iv mini; samsung i9190 galaxy s4 mini duos with dual-sim card slots
z528,acer,liquid zest,2016,4,2016.25,110,5,z528
mt7-tl10,huawei,ascend mate7 monarch,2015,3,2015.166667,500,6,also known as huawei ascend mate7 monarch edition
z017d,asus,zenfone 3 ze520kl,2016,8,2016.583333,360,5.2,NA
s850,lenovo,s850,2014,6,2014.416667,200,5,s850
highway pure,wiko,highway pure 4g,2015,4,2015.25,NA,4.8,highway pure
one max,htc,one max,2013,10,2013.75,370,5.9,one max
a3300,lenovo,a7-30 a3300,2014,5,2014.333333,80,7,a3300
a7-30hc,lenovo,tab 2 a7-10,2015,1,2015,90,7,"this is not a gsm device, it will not work on any gsm network worldwide."
k900,lenovo,k900,2013,4,2013.25,360,5.5,k900
mi 4 lte,xiaomi,mi 4 lte,2014,12,2014.916667,230,5,mi 4 lte
lt29i,sony,xperia tx,2012,10,2012.75,330,4.55,lt29i
a1-830,acer,iconia a1-830,2014,3,2014.166667,130,7.9,a1-830
s800,chl,s8000 jet,2009,6,2009.416667,120,3.1,s800
u7015,oppo,u705t ulike 2,2012,12,2012.916667,280,4.5,NA
c6833,sony,xperia z ultra,2013,7,2013.5,280,6.4,c6833
y600-u151,huawei,ascend y600,2014,6,2014.416667,100,5,NA
sm-t331,samsung,galaxy tab 4 8.0 3g,2014,6,2014.416667,300,8,"tablet with support for gsm voice communication, sms, and mms
also known as samsung t331, galaxy tab4 8.0 3g"
gt-s6102,samsung,galaxy y duos s6102,2012,2,2012.083333,80,3.14,gt-s6102
9800,blackberry,torch 9800,2010,8,2010.583333,110,3.2,9800
p1a42,lenovo,vibe p1 turbo,2016,2,2016.083333,260,5.5,also known as lenovo vibe p1 pro
d5803,sony,xperia z3 compact,2014,9,2014.666667,330,4.6,d5803
a700,samsung,galaxy a7 (2017),2017,1,2017,530,5.7,also known as samsung galaxy a7 (2017) duos with dual-sim card slots
shv-e330s,samsung,i9506 galaxy s4,2013,NA,NA,390,5,shv-e330s
me175cg,asus,fonepad 7,2013,10,2013.75,220,7,me175cg
sunset 2,wiko,sunset2,2015,7,2015.5,NA,4,NA
d5833,sony,xperia z3 compact,2014,9,2014.666667,330,4.6,d5833
z380kl,asus,zenpad 8.0 z380kl,2015,7,2015.5,280,8,z380kl
pro,mxq,blade v8 pro,2017,2,2017.083333,270,5.5,pro
c6903,sony,xperia z1,2013,9,2013.666667,330,5,c6903
gt-i9205,samsung,galaxy s6 (usa),2015,4,2015.25,500,5.1,"also known as samsung galaxy s6 g920curved screen version available - samsung galaxy s6 edge
versions: g920p (sprint), g920v (verizon), g920r (us cellular), g920w8 (canada)"
pb1-750m,lenovo,phab2,2016,6,2016.416667,230,6.4,NA
816g,htc,desire 816g dual sim,2014,10,2014.75,260,5.5,816g
y511-u251,huawei,ascend y511,2013,11,2013.833333,110,4.5,NA
sm-a300,samsung,galaxy a3 duos,2014,12,2014.916667,230,4.5,"versions: a300f/ds, a300g/ds, a300h/ds (3g only, no lte), a300m/ds"
gt-i9305,samsung,i9305 galaxy s iii,2012,9,2012.666667,320,4.8,also known as samsung galaxy s iii lte
c6802,sony,xperia z ultra,2013,7,2013.5,280,6.4,c6802
a3000,lenovo,ideatab a3000,2013,5,2013.333333,180,7,NA
me173x,asus,memo pad hd7 16 gb,2013,7,2013.5,130,7,"tablet with no support for gsm voice communication, sms, and mms"
rm-937,nokia,lumia 1520,2013,11,2013.833333,350,6,rm-937
e5823,sony,xperia z5 compact,2015,10,2015.75,410,4.6,NA
y511-u30,huawei,ascend y511,2013,11,2013.833333,110,4.5,NA
h540,lg,g4 stylus,2015,5,2015.333333,250,5.7,h540
a3003,oneplus,3,2016,6,2016.416667,400,5.5,also known as oneplus three
moto g,motorola,moto g4 play,2016,8,2016.583333,240,5,moto g
mi 3w,xiaomi,redmi 3x,2016,7,2016.5,170,5,NA
gt-s7500,samsung,galaxy ace plus s7500,2012,2,2012.083333,120,3.65,NA
htl21,htc,butterfly 2,2014,9,2014.666667,300,5,for south asia
g730-u27,huawei,ascend g730,2014,4,2014.25,270,5.5,also known as huawei ascend g730 dual sim
d618,lg,g2 mini,2014,4,2014.25,160,4.7,d618
shv-e210k,samsung,galaxy tab 3 7.0 wifi,2013,7,2013.5,140,7,"tablet with no support for gsm voice communication, sms, and mms
also known as samsung galaxy tab 3 7.0 p3210, samsung t210"
shv-e160s,samsung,galaxy ace 2 i8160,2012,5,2012.333333,130,3.8,available as samsung galaxy ace ii x s7560m for bell canada
s960,lenovo,vibe x s960,2013,12,2013.916667,420,5,s960
g730-u10,huawei,ascend g730,2014,4,2014.25,270,5.5,also known as huawei ascend g730 dual sim
one e9+,htc,one e9+,2015,5,2015.333333,320,5.5,one e9+
s7-721u,huawei,mediapad 7 youth2,2014,3,2014.166667,160,7,"tablet with support for gsm voice communication, sms, and mms"
me572cl,asus,memo pad 7 me572cl,2014,11,2014.833333,240,7,me572cl
a22,unknown,a220,2013,2,2013.083333,120,4.63,a22
gra-ul10,huawei,p8 lite (2017),2017,1,2017,240,5.2,also known as huawei honor 8 lite
rm-875,nokia,lumia 1020,2013,7,2013.5,400,4.5,rm-875
x3a40,lenovo,vibe k4 note,2016,1,2016,190,5.5,"also known as: lenovo k4 note a7010a48, a7010, lenovo vibe x3 lite"
gt-p1000,samsung,p1000 galaxy tab,2010,10,2010.75,150,7,"tablet with support for gsm voice communication, sms, and mms"
gt-i8750,samsung,ativ s i8750,2012,12,2012.916667,220,4.8,NA
rm-974,nokia,lumia 635,2014,6,2014.416667,110,4.5,rm-974
start 1,zte,star 1,2014,4,2014.25,200,5,NA
v490,lg,g pad 8.0 lte,2014,8,2014.583333,240,8,v490
r8113,oppo,find 7a,2014,3,2014.166667,370,5.5,"also known as oppo find 7 fullhd, oppo find 7 fhd"
gt-i9506,samsung,i9506 galaxy s4,2013,NA,NA,390,5,"also known as:
samsung galaxy s4 advance in uk
samsung galaxy s4 with lte+
available as samsung shv-e330s galaxy s4 lte-a for sk telecom"
vns-l31,huawei,p9 lite,2016,4,2016.25,280,5.2,"also known as huawei g9 lite, honor 8 smart (india)"
sm-g9350,samsung,galaxy s7 edge,2016,3,2016.166667,600,5.5,"versions: g935 (usa); g935f (global); g935fd (southeast asia)
also known as samsung galaxy s7 edge duos with dual-sim card slots "
s660,lenovo,s660,2014,6,2014.416667,170,4.7,s660
mt1-u06,huawei,ascend mate7 monarch,2015,3,2015.166667,500,6,also known as huawei ascend mate7 monarch edition
c2105,sony,xperia l,2013,5,2013.333333,130,4.3,c2105
sm-n9200,samsung,galaxy note5,2015,8,2015.583333,530,5.7,"versions: n920t (t-mobile); n920a (at&t); n920i (australia, new zealand, singapore, canada); n920g
 (india)"
gt-i9301,samsung,i9301i galaxy s3 neo,2014,6,2014.416667,270,4.8,NA
mi 4c,xiaomi,mi 4c,2015,9,2015.666667,210,5,mi 4c
a660,lenovo,a6600,2016,10,2016.75,110,5,a660
gt-p5110,samsung,galaxy note 8.0 wi-fi,2013,4,2013.25,280,8,"tablet with no support for gsm voice communication, sms, and mms
also known as samsung galaxy note 511, samsung galaxy note 8 wifi, samsung gt-n5110"
t00f,asus,zenfone 5 a501cg,2015,1,2015,120,5,"versions:
intel atom z2520, dual-core 1.2 ghz
intel atom z2560, dual-core 1.6 ghz"
sgp621,sony,xperia z3 tablet compact,2014,11,2014.833333,380,8,NA
s820,lenovo,s820,2013,5,2013.333333,230,4.7,s820
d325,lg,l70 dual d325,2014,5,2014.333333,130,4.5,d325
p6-u06,huawei,ascend p6 s,2014,1,2014,300,4.7,for china unicom
b6000-hv,lenovo,yoga tablet 8,2013,10,2013.75,190,8,"available with 3g/wi-fi or wi-fi only support
tablet with no support for gsm voice communication"
m681h,meizu,m3 note,2016,4,2016.25,180,5.5,also known as meizu blue charm note3
d6603,sony,xperia z3+,2015,6,2015.416667,340,5.2,"also known as sony xperia z3 plus, xperia z4, sony e6553"
one x,htc,one x9,2016,1,2016,360,5.5,one x
g610-u20,huawei,g610s,2013,8,2013.583333,150,5,NA
liquid z630s,acer,liquid z630s,2015,9,2015.666667,NA,5.5,liquid z630s
z220,acer,liquid z220,2015,4,2015.25,90,4,z220
a99,celkon,a99,2012,NA,NA,NA,4,a99
shv-e160k,samsung,galaxy ace 2 i8160,2012,5,2012.333333,130,3.8,available as samsung galaxy ace ii x s7560m for bell canada
a850,lenovo,a850+,2014,4,2014.25,160,5.5,a850
z160,acer,liquid z410,2015,2,2015.083333,130,4.5,NA
desire 826,htc,desire 826 dual sim,2015,3,2015.166667,200,5.5,desire 826
me372cg,asus,fonepad 7 fe171cg,2015,1,2015,160,7,"tablet with support for gsm voice communication, sms, and mms"
one m9 plus,htc,one m9+,2015,5,2015.333333,500,5.2,one m9 plus
d410,lg,l90 dual d410,2014,4,2014.25,290,4.7,d410
c1905,sony,xperia m,2013,8,2013.583333,130,4,c1905
gt-s5830,samsung,galaxy ace s5830,2011,2,2011.083333,90,3.5,"also known as samsung galaxy ace la fleur, samsung galaxy ace hugo boss"
mi note lte,xiaomi,redmi note 4,2017,1,2017,160,5.5,NA
d2502,sony,xperia c3 dual,2014,8,2014.583333,250,5.5,d2502
h815,lg,g4,2015,4,2015.25,340,5.5,h815
blade s6 plus,zte,blade s6 plus,2015,4,2015.25,280,5.5,blade s6 plus
sm-g901,samsung,galaxy s5 lte-a g901f,2014,8,2014.583333,390,5.1,"also known as:
samsung galaxy s5 lte-a g901f for europe
samsung galaxy s5 4g+ for singapore"
plk-l01,huawei,honor 5c,2016,5,2016.333333,200,5.2,"asia model has fingerprint sensor
also known as huawei honor 7 lite, huawei gt3"
c5502,sony,xperia zr,2013,6,2013.416667,230,4.55,c5502
shv-e300s,samsung,z3,2015,10,2015.75,110,5,versions: z300h/dd (india)
wave 4.0,blu,advance 4.0 l3,2017,1,2017,NA,4,NA
redmi note 4,xiaomi,redmi note 4,2017,1,2017,160,5.5,redmi note 4
e5803,sony,xperia z5 compact,2015,10,2015.75,410,4.6,NA
s860,lenovo,s860,2014,5,2014.333333,250,5.3,s860
highway signs,wiko,highway signs,2014,10,2014.75,200,4.7,highway signs
p780,lenovo,p780,2013,6,2013.416667,190,5,p780
a316i,lenovo,a316i,2014,4,2014.25,50,4,a316i
y520-u33,huawei,ascend y520,2014,12,2014.916667,80,4.5,NA
lt22i,sony,xperia p,2012,5,2012.333333,210,4,lt22i
a100,acer,iconia tab a100,2011,4,2011.25,100,7,a100
gt-i9515,samsung,i9505 galaxy s4,2013,4,2013.25,330,5,"also known as:
samsung galaxy s4 value edition i9515
samsung sgh-i337 for at&t
samsung i9505g galaxy s4 google play edition"
lt26w,sony,xperia acro s,2012,8,2012.583333,230,4.3,lt26w
a706,lenovo,a706,2013,NA,NA,150,4.5,a706
c6502,sony,xperia zl,2013,3,2013.166667,260,5,c6502
sm-t235,samsung,galaxy tab 4 7.0 lte,2014,5,2014.333333,280,7,"tablet with support for gsm voice communication, sms, and mms
also known as samsung t235, galaxy tab4 7.0 lte"
d686,lg,g pro lite dual,2013,11,2013.833333,240,5.5,d686
alpha gt,samsung,galaxy alpha (s801),2014,9,2014.666667,450,4.7,"versions:
g850a for at&t
g850w for canada
g8508s for east & southeast asia"
lenny,wiko,lenny3,2016,5,2016.333333,NA,5,lenny
desire 620g,htc,desire 620g dual sim,2014,12,2014.916667,190,5,desire 620g
xt1650,motorola,moto z force,2016,9,2016.666667,720,5.5,also known as motorola moto z force droid for usa
mla-l01,huawei,nova plus,2016,10,2016.75,430,5.5,NA
d5322,sony,xperia t2 ultra dual,2014,3,2014.166667,280,6,d5322
shv-e300k,samsung,z3,2015,10,2015.75,110,5,versions: z300h/dd (india)
h324,lg,leon,2015,4,2015.25,120,4.5,also known as lg leon 4g lte h340n; lg leon dual sim with dual-sim card slots
fe380cg,asus,fonepad 8 fe380cg,2014,NA,NA,200,8,fe380cg
c2104,sony,xperia l,2013,5,2013.333333,130,4.3,c2104
sm-p605,samsung,galaxy note ii cdma,2012,NA,NA,350,5.5,"versions:
samsung sch-i605 for verizon
samsung sch-r950 for u.s. cellular
samsung sph-l900 for sprint"
mx5,meizu,mx5e,2016,4,2016.25,190,5.5,mx5
rm-1031,microsoft,lumia 532 dual sim,2015,2,2015.083333,90,4,NA
eva-l09,huawei,p9,2016,4,2016.25,440,5.2,eva-l09
luxury 3,asus,zenfone 3 deluxe zs570kl,2016,8,2016.583333,690,5.7,NA
s59,acer,liquid x2,2016,2,2016.083333,230,5.5,NA
lumia 830,nokia,lumia 830,2014,9,2014.666667,330,5,lumia 830
sm-t210,samsung,galaxy tab 3 7.0 wifi,2013,7,2013.5,140,7,"tablet with no support for gsm voice communication, sms, and mms
also known as samsung galaxy tab 3 7.0 p3210, samsung t210"
sm-t800,samsung,p6800 galaxy tab 7.7,2011,12,2011.916667,280,7.7,"tablet with support for gsm voice communication, sms, and mms"
2pst610,htc,desire 630,2016,6,2016.416667,190,5,NA
sm-t810,samsung,galaxy tab s2 9.7,2015,9,2015.666667,520,9.7,"versions (2016): t813n (wi-fi); t819n (3g/lte)
versions (2015): t810 (wi-fi); t815 (3g/lte)"
g6-u10,huawei,ascend g628,2015,2,2015.083333,140,5,NA
p880,lg,optimus 4x hd p880,2012,6,2012.416667,220,4.7,p880
desire 310,htc,desire 310,2014,4,2014.25,150,4.5,desire 310
rm-1116,microsoft,lumia 950 xl dual sim,2015,12,2015.916667,350,5.7,NA
xt1562,motorola,moto x play dual sim,2015,8,2015.583333,320,5.5,NA
p768,lg,optimus l9 p760,2012,11,2012.833333,170,4.7,p768
z330,acer,liquid z330,2015,10,2015.75,110,4.5,z330
redmi 3s,xiaomi,redmi 3s,2016,6,2016.416667,120,5,redmi 3s
c1505,sony,xperia e5,2016,6,2016.416667,190,5,NA
p10,cubot,p1010 galaxy tab wi-fi,2011,3,2011.166667,150,7,p10
a2017u,zte,axon 7 max,2017,2,2017.083333,NA,6,NA
b1-a71,acer,iconia tab b1-a71,2013,1,2013,100,7,b1-a71
shv-e160l,samsung,galaxy ace 2 i8160,2012,5,2012.333333,130,3.8,available as samsung galaxy ace ii x s7560m for bell canada
shv-e270k,samsung,galaxy ace 3,2013,7,2013.5,130,4,also known as samsung galaxy ace 3 3g s7270; samsung galaxy ace 3 lte s7275; samsung galaxy ace 3 s7272 duos with dual-sim card slots
one mini,htc,one mini 2,2014,5,2014.333333,440,4.5,one mini
hm note 1lte,xiaomi,redmi note 4g,2014,8,2014.583333,160,5.5,NA
one s,htc,one sv,2013,1,2013,200,4.3,one s
a12,karbonn,noir a120,2014,5,2014.333333,80,4,a12
z410,acer,liquid z410,2015,2,2015.083333,130,4.5,z410
redmi pro,xiaomi,redmi pro,2016,8,2016.583333,190,5.5,redmi pro
gt-i9105,samsung,i9105 galaxy s ii plus,2013,2,2013.083333,210,4.3,also available as samsung i9105p galaxy s ii plus with nfc
a516,lenovo,a516,2013,NA,NA,110,4.5,a516
f5321,sony,xperia x compact,2016,9,2016.666667,410,4.6,NA
gt-s7580,samsung,galaxy s duos 2 s7582,2013,12,2013.916667,130,4,also known as samsung galaxy trend plus s7580 with single-sim card slot
mi pad,xiaomi,mi pad 2,2015,11,2015.833333,220,7.9,mi pad
one m9,htc,one m9+,2015,5,2015.333333,500,5.2,one m9
d2302,sony,xperia m2 dual,2014,4,2014.25,180,4.8,d2302
nx511j,zte,nubia z9 mini,2015,4,2015.25,280,5,NA
sm-j5007,samsung,galaxy j5 prime,2016,10,2016.75,230,5,"also known as samsung galaxy on5 (2016).
versions: g570, g570f/ds (emea); g570y (australia)."
sm-g531,samsung,galaxy grand prime plus,2016,11,2016.833333,140,5,"also known as samsung galaxy grand prime (2016), samsung sm-g532f, samsung galaxy j2 prime"
highway star,wiko,highway star 4g,2015,4,2015.25,NA,5,highway star
m10h,htc,desire 10 lifestyle,2016,9,2016.666667,260,5.5,NA
sm-n7505,samsung,galaxy note 3 neo,2014,2,2014.083333,320,5.5,"versions: 
- samsung galaxy note 3 neo 3g n750
- samsung galaxy note 3 neo lte+ n7505"
redmi 3,xiaomi,redmi 3x,2016,7,2016.5,170,5,redmi 3
shv-e250l,samsung,galaxy s6 edge,2015,4,2015.25,450,5.1,"also known as samsung galaxy s6 edge g925
versions: g9250 (china, hk), g925a (at&t), g925f (global), g925fq (turkey), g925i (latam, singapore, india, australia), g925k (korea), g925l, g925s (korea), g925t (t-mobile)"
sgh-i337,at&t,i9505 galaxy s4,2013,4,2013.25,330,5,sgh-i337
mi note pro,xiaomi,mi note pro,2015,5,2015.333333,380,5.7,mi note pro
e989,lg,optimus g pro e985,2013,4,2013.25,400,5.5,"versions:
lg optimus g pro f240
lg optimus g pro l-04e
lg optimus g pro e980
lg optimus g pro e986 for europe"
n12,window digital electronics,m8910 pixon12,2009,8,2009.583333,240,3.1,n12
pixel,google,pixel xl,2016,10,2016.75,820,5.5,pixel
sm-j320,samsung,galaxy j3 (2016),2016,1,2016,150,5,"versions: j320f (emea); j320a (at&t); j320p (virgin mobile, boost); j3109 (china); j320m; j320y
also known as samsung galaxy j3 (2016) duos with dual-sim card slots"
